Ask,AVolume,Bid,BVolume,Exchange,Ticker,TimeStamp,Spread,Levels,Closes
16817.81,0.02713,16816.46,0.21544,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,1.35,20,16822.65
16818.36,0.2046,16816.26,0.30398,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,2.1,20,16835.48
16819.58,0.0268,16816.16,0.1773,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,3.42,20,16819.26
16819.73,0.20869,16815.96,0.19844,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,3.77,20,16730.68
16820.13,0.17302,16815.45,0.07775,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,4.68,20,16682.55
16820.23,0.18218,16815.35,0.31964,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,4.88,20,16677.04
16820.33,0.24938,16815.25,0.13022,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,5.08,20,16723.99
16820.43,0.18118,16815.15,0.24179,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,5.28,20,16736.49
16820.48,0.23266,16815.05,0.08548,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,5.43,20,16718.23
16820.58,0.24345,16808.83,2.48822,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,11.75,20,16736.57
16820.68,0.13585,16807.95,1.77183,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,12.73,20,16775.5
16820.78,0.17384,16803.6,2.92298,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,17.18,20,16791.73
16820.88,0.08552,16800.08,1.03034,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,20.8,20,16793.95
16820.98,0.18512,16796.98,2.25863,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,24,20,16850.68
16821.99,0.1356,16793.49,1.64108,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,28.5,20,16804.27
16822.19,0.26921,16789.66,1.57083,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,32.53,20,16775.43
16822.29,0.09163,16785.26,3.88411,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,37.03,20,16777.02
16822.4,0.09468,16782.65,1.74751,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,39.75,20,16789.4
16822.49,0.13541,16780.62,1.3519,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,41.87,20,16809.34
16822.5,0.14863,16778.07,2.01182,BitMart,BTC/USDT,2022-11-11T19:17:34.826Z,44.43,20,16823.21
16819.9,0.0689,16815.6,0.0074,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,4.3,20,16817.8
16821.3,0.0005,16815,0.0012,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,6.3,20,16829.4
16822.1,0.002,16814.9,0.003,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,7.2,20,16815.6
16824.7,0.0026,16814.7,0.002,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,10,20,16723
16826.2,0.0155,16814.2,0.0032,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,12,20,16670.3
16826.3,0.0073,16813.8,0.0001,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,12.5,20,16671
16826.9,1.4232,16813.5,0.0165,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,13.4,20,16717
16832.2,0.029,16812.8,0.0002,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,19.4,20,16728.5
16832.3,0.0001,16812.6,0.01,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,19.7,20,16710
16833.4,0.0345,16812.4,0.001,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,21,20,16733.8
16833.5,0.0328,16811.8,0.0099,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,21.7,20,16770.6
16835.9,2.3063,16811.4,0.02,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,24.5,20,16785
16838.2,0.03,16811.2,0.011,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,27,20,16787.2
16838.5,0.5938,16809.8,0.0019,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,28.7,20,16839.6
16842.3,0.0056,16809.7,0.0041,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,32.6,20,16794.5
16842.7,0.0118,16809.3,0.0136,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,33.4,20,16765.3
16843.1,0.0303,16809.2,0.0041,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,33.9,20,16767.4
16843.3,0.0534,16807.8,0.0024,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,35.5,20,16783.4
16843.4,0.0064,16807.7,1.4231,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,35.7,20,16801.8
16843.9,0.0324,16806.8,0.01,Gate.io,BTC/USDT,2022-11-11T19:17:48.647Z,37.1,20,16812.7
16827.6,0.4204,16824.64,0.06,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,2.96,20,16832.98
16827.66,5.9374,16823.15,0.012,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,4.51,20,16819.12
16828.03,0.0138,16823.09,0.0151,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,4.94,20,16724.04
16828.17,0.012,16822.86,0.1726,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,5.31,20,16674.42
16828.19,0.0145,16822.35,0.28,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,5.84,20,16674.42
16828.45,0.0557,16822.21,0.0186,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,6.24,20,16720.87
16828.46,0.9997,16822.19,0.012,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,6.27,20,16734.46
16828.47,0.0121,16822.04,0.0655,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,6.43,20,16717.25
16829.71,0.4529,16821.91,0.012,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,7.8,20,16736.58
16830,0.562,16821.71,0.0216,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,8.29,20,16773.61
16830.89,0.0691,16821.31,0.04,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,9.58,20,16788.96
16830.9,0.3069,16820.11,0.5791,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,10.79,20,16793.81
16830.99,0.1209,16819.91,3.48,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,11.08,20,16844.62
16831.02,1.2033,16819.81,1.1921,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,11.21,20,16801.37
16831.17,3.4758,16819.66,0.0124,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,11.51,20,16771.98
16831.29,0.12,16819.65,0.2618,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,11.64,20,16770.6
16831.38,0.672,16819.64,0.5004,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,11.74,20,16788.74
16831.55,0.0125,16819.61,0.46,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,11.94,20,16805.9
16831.8,0.8569,16819.58,2.4906,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,12.22,20,16815.11
16831.84,0.1601,16819.52,0.16,Bitget,BTC/USDT,2022-11-11T19:18:03.271Z,12.32,20,16817.95
16834.89,0.00313,16833.96,0.07305,BitMart,BTC/USDT,2022-11-11T19:18:15.117Z,0.93,20,16835.48
16834.96,0.31987,16832.06,0.18534,BitMart,BTC/USDT,2022-11-11T19:18:15.117Z,2.9,20,16819.26
16834.99,0.00405,16831.96,0.17419,BitMart,BTC/USDT,2022-11-11T19:18:15.117Z,3.03,20,16730.68
16835.02,0.00231,16831.26,0.068,BitMart,BTC/USDT,2022-11-11T19:18:15.117Z,3.76,20,16682.55
16835.16,0.13614,16831.15,0.29437,BitMart,BTC/USDT,2022-11-11T19:18:15.117Z,4.01,20,16677.04
16836.07,0.11449,16828.52,1.85285,BitMart,BTC/USDT,2022-11-11T19:18:15.117Z,7.55,20,16723.99
16836.17,0.23849,16825.03,1.82207,BitMart,BTC/USDT,2022-11-11T19:18:15.117Z,11.14,20,16736.49
16837.88,0.31845,16823.2,3.89714,BitMart,BTC/USDT,2022-11-11T19:18:15.117Z,14.68,20,16718.23
16841.57,2.19414,16820.67,1.43576,BitMart,BTC/USDT,2022-11-11T19:18:15.117Z,20.9,20,16736.57
