Ask,AVolume,Bid,BVolume,Exchange,Ticker,TimeStamp,Spread,Levels,Closes
287.64,0.49,287.46,0.39,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.18,20,287
287.65,0.29,287.45,0.3,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.2,20,287.24
287.67,0.59,287.43,0.21,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.24,20,287.15
287.68,0.51,287.42,0.34,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.26,20,286.08
287.69,0.38,287.4,0.14,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.29,20,285.3
287.71,0.14,287.39,0.39,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.32,20,285.3
287.72,0.27,287.38,0.53,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.34,20,285.6
287.74,0.62,287.36,0.62,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.38,20,286.5
287.75,0.45,287.35,0.43,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.4,20,285.94
287.77,0.19,287.33,0.48,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.44,20,286.15
287.78,0.28,287.32,0.5,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.46,20,286.04
287.79,0.4,287.3,0.61,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.49,20,286
287.81,0.49,287.29,0.43,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.52,20,286
287.82,0.56,287.28,0.61,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.54,20,287.26
287.84,0.36,287.26,0.53,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.58,20,286.9
287.85,0.46,287.25,0.2,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.6,20,286.5
287.87,0.5,287.23,0.29,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.64,20,286.5
287.89,0.25,287.22,0.25,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.67,20,286.8
287.91,0.22,287.2,0.17,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.71,20,287.3
287.92,0.44,287.19,0.38,BitMart,BNB/USDT,2022-11-11T19:17:35.659Z,0.73,20,287.64
287.4,0.1674,287.28,0.3854,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,0.12,20,287
287.47,0.1708,287.24,3.6321,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,0.23,20,287.12
287.53,0.0083,287.23,3.632,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,0.3,20,286.84
287.55,0.154,287.21,4.8142,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,0.34,20,285.82
287.62,20.7448,287.15,1.769,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,0.47,20,285.1
287.63,0.1429,287.11,0.0042,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,0.52,20,285.22
287.68,17.9102,287.1,14.2945,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,0.58,20,285.88
287.6813,0.832,287.09,9.6923,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,0.5913,20,286.32
287.7,0.1489,287.07,1.748,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,0.63,20,285.65
287.75,4.8142,287.06,7,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,0.69,20,285.98
287.77,3.9583,287.04,19.961,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,0.73,20,285.97
287.78,9.6923,286.89,27.8852,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,0.89,20,285.8
287.79,0.058,286.84,5.4495,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,0.95,20,286.11
287.87,3.6321,286.73,6.9609,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,1.14,20,287.03
287.93,0.014,286.71,1.5655,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,1.22,20,286.94
287.94,0.0081,286.64,6.9594,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,1.3,20,286.49
287.96,16.0795,286.55,10,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,1.41,20,286.58
287.97,1.747,286.517,1.112,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,1.453,20,287.04
288,0.0119,286.47,3.632,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,1.53,20,287.06
288.07,0.0069,286.4,57.7935,Gate.io,BNB/USDT,2022-11-11T19:17:49.454Z,1.67,20,287.4
287.77,0.3477,287.41,0.4203,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,0.36,20,287.11
287.8,0.3477,287.38,0.6858,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,0.42,20,286.92
287.81,0.3802,287.33,38.612,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,0.48,20,286.17
287.87,2.9843,287.31,1.2021,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,0.56,20,285.47
287.95,0.3475,287.27,0.9833,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,0.68,20,285.42
287.96,0.3475,287.24,1.2868,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,0.72,20,285.66
287.97,40.4088,287.23,35.9982,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,0.74,20,286.18
287.99,1.7493,287.18,31.3912,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,0.81,20,285.73
288,35.8297,287.15,35.7855,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,0.85,20,286
288.02,0.0593,287.13,47.6212,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,0.89,20,286
288.03,39.3893,287.12,33.5094,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,0.91,20,285.89
288.04,3.5949,287.1,0.3483,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,0.94,20,286.03
288.06,37.8719,287.09,35.2165,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,0.97,20,286.88
288.07,86.9973,287.08,4.7661,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,0.99,20,286.79
288.09,24.2153,287.06,36.5442,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,1.03,20,286.57
288.11,29.2248,287.04,1.3135,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,1.07,20,286.54
288.12,38.0616,287.03,91.3827,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,1.09,20,286.82
288.14,3.5949,287.01,10.2388,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,1.13,20,287.36
288.15,25.543,287,25.1637,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,1.15,20,287.45
288.16,0.6336,286.99,2.4068,Bitget,BNB/USDT,2022-11-11T19:18:03.935Z,1.17,20,287.45
287.65,1.07,287.56,0.16,BitMart,BNB/USDT,2022-11-11T19:18:15.704Z,0.09,20,287.24
287.74,0.62,287.55,0.58,BitMart,BNB/USDT,2022-11-11T19:18:15.704Z,0.19,20,287.15
287.75,0.45,287.53,0.15,BitMart,BNB/USDT,2022-11-11T19:18:15.704Z,0.22,20,286.08
287.77,0.19,287.52,0.37,BitMart,BNB/USDT,2022-11-11T19:18:15.704Z,0.25,20,285.3
287.78,0.28,287.51,0.43,BitMart,BNB/USDT,2022-11-11T19:18:15.704Z,0.27,20,285.3
287.79,0.4,287.49,0.54,BitMart,BNB/USDT,2022-11-11T19:18:15.704Z,0.3,20,285.6
287.81,0.49,287.48,0.53,BitMart,BNB/USDT,2022-11-11T19:18:15.704Z,0.33,20,286.5
287.82,0.56,287.46,0.23,BitMart,BNB/USDT,2022-11-11T19:18:15.704Z,0.36,20,285.94
287.84,0.36,287.45,0.24,BitMart,BNB/USDT,2022-11-11T19:18:15.704Z,0.39,20,286.15
287.85,0.46,287.43,0.47,BitMart,BNB/USDT,2022-11-11T19:18:15.704Z,0.42,20,286.04
287.87,0.5,287.42,0.52,BitMart,BNB/USDT,2022-11-11T19:18:15.704Z,0.45,20,286
287.88,0.2,287.41,0.6,BitMart,BNB/USDT,2022-11-11T19:18:15.704Z,0.47,20,286
287.89,0.39,287.39,0.59,BitMart,BNB/USDT,2022-11-11T19:18:15.704Z,0.5,20,287.26
287.9,0.54,287.38,0.48,BitMart,BNB/USDT,2022-11-11T19:18:15.704Z,0.52,20,286.9
287.91,0.55,287.36,0.62,BitMart,BNB/USDT,2022-11-11T19:18:15.704Z,0.55,20,286.5
287.92,0.35,287.35,0.43,BitMart,BNB/USDT,2022-11-11T19:18:15.704Z,0.57,20,286.5
